geometry,Pincode,District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude
"POLYGON ((88.40699505 26.7320166, 88.4059306 26.73170145, 88.4071282 26.7304089, 88.407614 26.72994835, 88.40699505 26.7320166))",734003,Darjeeling,Z100,Pashupati Road,track,20,26.73170145,88.4059306
"POLYGON ((88.25850865 27.035202, 88.25961145 27.0296957, 88.26796075 27.0432533, 88.26474365 27.04128465, 88.26236445 27.0394789, 88.25850865 27.035202))",734101,Darjeeling,-,Unnamed Zone,residential,30,27.0296957,88.25961145
"POLYGON ((88.2598222 27.0088745, 88.25981738472667 27.00877648285967, 88.2598029852804 27.008679409677985, 88.25977914033572 27.008584215322745, 88.2597460795325 27.008491816567634, 88.25970412126435 27.008403103263174, 88.2596536696123 27.008318929766983, 88.25959521045336 27.00824010671584, 88.25952930678119 27.008167393218816, 88.25945659328416 27.00810148954664, 88.25937777023302 27.0080430303877, 88.25929359673682 27.007992578735653, 88.25920488343236 27.00795062046749, 88.25911248467725 27.007917559664268, 88.259017290322 27.007893714719597, 88.25892021714033 27.00787931527333, 88.2588222 27.0078745, 88.25872418285967 27.00787931527333, 88.25862710967799 27.007893714719597, 88.25853191532275 27.007917559664268, 88.25843951656763 27.00795062046749, 88.25835080326317 27.007992578735653, 88.25826662976698 27.0080430303877, 88.25818780671584 27.00810148954664, 88.2581150932188 27.008167393218816, 88.25804918954664 27.00824010671584, 88.25799073038769 27.008318929766983, 88.25794027873565 27.008403103263174, 88.25789832046749 27.008491816567634, 88.25786525966427 27.008584215322745, 88.25784141471959 27.008679409677985, 88.25782701527332 27.00877648285967, 88.25782219999999 27.0088745, 88.25782701527332 27.008972517140332, 88.25784141471959 27.009069590322017, 88.25786525966427 27.009164784677257, 88.25789832046749 27.009257183432368, 88.25794027873565 27.00934589673683, 88.25799073038769 27.00943007023302, 88.25804918954664 27.009508893284163, 88.2581150932188 27.009581606781186, 88.25818780671584 27.009647510453362, 88.25826662976698 27.009705969612302, 88.25835080326317 27.00975642126435, 88.25843951656763 27.009798379532512, 88.25853191532275 27.009831440335734, 88.25862710967799 27.009855285280405, 88.25872418285967 27.009869684726674, 88.2588222 27.009874500000002, 88.25892021714033 27.009869684726674, 88.259017290322 27.009855285280405, 88.25911248467725 27.009831440335734, 88.25920488343236 27.009798379532512, 88.25929359673682 27.00975642126435, 88.25937777023302 27.009705969612302, 88.25945659328416 27.009647510453362, 88.25952930678119 27.009581606781186, 88.25959521045336 27.009508893284163, 88.2596536696123 27.00943007023302, 88.25970412126435 27.00934589673683, 88.2597460795325 27.009257183432368, 88.25977914033572 27.009164784677257, 88.2598029852804 27.009069590322017, 88.25981738472667 27.008972517140332, 88.2598222 27.0088745))",734103,Darjeeling,Z102,Tenzing Norgay Road,residential,20,27.0088745,88.2588222
"POLYGON ((88.19250105 26.995994, 88.19249623472668 26.99589598285967, 88.1924818352804 26.995798909677983, 88.19245799033573 26.995703715322744, 88.1924249295325 26.995611316567633, 88.19238297126435 26.995522603263172, 88.19233251961231 26.99543842976698, 88.19227406045336 26.995359606715837, 88.19220815678119 26.995286893218815, 88.19213544328416 26.995220989546638, 88.19205662023302 26.9951625303877, 88.19197244673683 26.99511207873565, 88.19188373343236 26.99507012046749, 88.19179133467725 26.995037059664266, 88.19169614032201 26.995013214719595, 88.19159906714033 26.994998815273327, 88.19150105 26.994994, 88.19140303285967 26.994998815273327, 88.19130595967799 26.995013214719595, 88.19121076532275 26.995037059664266, 88.19111836656764 26.99507012046749, 88.19102965326317 26.99511207873565, 88.19094547976698 26.9951625303877, 88.19086665671584 26.995220989546638, 88.19079394321881 26.995286893218815, 88.19072803954664 26.995359606715837, 88.19066958038769 26.99543842976698, 88.19061912873565 26.995522603263172, 88.19057717046749 26.995611316567633, 88.19054410966427 26.995703715322744, 88.1905202647196 26.995798909677983, 88.19050586527332 26.99589598285967, 88.19050105 26.995994, 88.19050586527332 26.99609201714033, 88.1905202647196 26.996189090322016, 88.19054410966427 26.996284284677255, 88.19057717046749 26.996376683432366, 88.19061912873565 26.996465396736827, 88.19066958038769 26.996549570233018, 88.19072803954664 26.996628393284162, 88.19079394321881 26.996701106781185, 88.19086665671584 26.99676701045336, 88.19094547976698 26.9968254696123, 88.19102965326317 26.996875921264348, 88.19111836656764 26.99691787953251, 88.19121076532275 26.996950940335733, 88.19130595967799 26.996974785280404, 88.19140303285967 26.996989184726672, 88.19150105 26.996994, 88.19159906714033 26.996989184726672, 88.19169614032201 26.996974785280404, 88.19179133467725 26.996950940335733, 88.19188373343236 26.99691787953251, 88.19197244673683 26.996875921264348, 88.19205662023302 26.9968254696123, 88.19213544328416 26.99676701045336, 88.19220815678119 26.996701106781185, 88.19227406045336 26.996628393284162, 88.19233251961231 26.996549570233018, 88.19238297126435 26.996465396736827, 88.1924249295325 26.996376683432366, 88.19245799033573 26.996284284677255, 88.1924818352804 26.996189090322016, 88.19249623472668 26.99609201714033, 88.19250105 26.995994))",734221,Darjeeling,Z107,Rai Gaon Road,unclassified,40,26.995994,88.19150105
"POLYGON ((88.20272940000001 26.6835921, 88.20272458472668 26.683494082859667, 88.20271018528041 26.683397009677982, 88.20268634033573 26.683301815322743, 88.20265327953251 26.68320941656763, 88.20261132126436 26.68312070326317, 88.20256086961231 26.68303652976698, 88.20250241045336 26.682957706715836, 88.2024365067812 26.682884993218813, 88.20236379328416 26.682819089546637, 88.20228497023302 26.682760630387698, 88.20220079673683 26.68271017873565, 88.20211208343237 26.682668220467487, 88.20201968467725 26.682635159664265, 88.20192449032201 26.682611314719594, 88.20182741714034 26.682596915273326, 88.2017294 26.682592099999997, 88.20163138285967 26.682596915273326, 88.201534309678 26.682611314719594, 88.20143911532276 26.682635159664265, 88.20134671656764 26.682668220467487, 88.20125800326318 26.68271017873565, 88.20117382976699 26.682760630387698, 88.20109500671585 26.682819089546637, 88.20102229321881 26.682884993218813, 88.20095638954665 26.682957706715836, 88.2008979303877 26.68303652976698, 88.20084747873565 26.68312070326317, 88.2008055204675 26.68320941656763, 88.20077245966428 26.683301815322743, 88.2007486147196 26.683397009677982, 88.20073421527333 26.683494082859667, 88.2007294 26.6835921, 88.20073421527333 26.68369011714033, 88.2007486147196 26.683787190322015, 88.20077245966428 26.683882384677254, 88.2008055204675 26.683974783432365, 88.20084747873565 26.684063496736826, 88.2008979303877 26.684147670233017, 88.20095638954665 26.68422649328416, 88.20102229321881 26.684299206781183, 88.20109500671585 26.68436511045336, 88.20117382976699 26.6844235696123, 88.20125800326318 26.684474021264347, 88.20134671656764 26.68451597953251, 88.20143911532276 26.68454904033573, 88.201534309678 26.684572885280403, 88.20163138285967 26.68458728472667, 88.2017294 26.6845921, 88.20182741714034 26.68458728472667, 88.20192449032201 26.684572885280403, 88.20201968467725 26.68454904033573, 88.20211208343237 26.68451597953251, 88.20220079673683 26.684474021264347, 88.20228497023302 26.6844235696123, 88.20236379328416 26.68436511045336, 88.2024365067812 26.684299206781183, 88.20250241045336 26.68422649328416, 88.20256086961231 26.684147670233017, 88.20261132126436 26.684063496736826, 88.20265327953251 26.683974783432365, 88.20268634033573 26.683882384677254, 88.20271018528041 26.683787190322015, 88.20272458472668 26.68369011714033, 88.20272940000001 26.6835921))",734429,Darjeeling,Z106,nehaljote road,residential,40,26.6835921,88.2017294
"POLYGON ((88.26386090000001 27.03727495, 88.26385608472668 27.03717693285967, 88.26384168528041 27.037079859677984, 88.26381784033573 27.036984665322745, 88.26378477953251 27.036892266567634, 88.26374282126436 27.036803553263173, 88.26369236961231 27.036719379766982, 88.26363391045336 27.036640556715838, 88.2635680067812 27.036567843218815, 88.26349529328417 27.03650193954664, 88.26341647023303 27.0364434803877, 88.26333229673683 27.036393028735652, 88.26324358343237 27.03635107046749, 88.26315118467726 27.036318009664267, 88.26305599032202 27.036294164719596, 88.26295891714034 27.036279765273328, 88.2628609 27.03627495, 88.26276288285968 27.036279765273328, 88.262665809678 27.036294164719596, 88.26257061532276 27.036318009664267, 88.26247821656764 27.03635107046749, 88.26238950326318 27.036393028735652, 88.26230532976699 27.0364434803877, 88.26222650671585 27.03650193954664, 88.26215379321881 27.036567843218815, 88.26208788954665 27.036640556715838, 88.2620294303877 27.036719379766982, 88.26197897873566 27.036803553263173, 88.2619370204675 27.036892266567634, 88.26190395966428 27.036984665322745, 88.2618801147196 27.037079859677984, 88.26186571527333 27.03717693285967, 88.2618609 27.03727495, 88.26186571527333 27.037372967140332, 88.2618801147196 27.037470040322017, 88.26190395966428 27.037565234677256, 88.2619370204675 27.037657633432367, 88.26197897873566 27.037746346736828, 88.2620294303877 27.03783052023302, 88.26208788954665 27.037909343284163, 88.26215379321881 27.037982056781185, 88.26222650671585 27.038047960453362, 88.26230532976699 27.0381064196123, 88.26238950326318 27.03815687126435, 88.26247821656764 27.03819882953251, 88.26257061532276 27.038231890335734, 88.262665809678 27.038255735280405, 88.26276288285968 27.038270134726673, 88.2628609 27.03827495, 88.26295891714034 27.038270134726673, 88.26305599032202 27.038255735280405, 88.26315118467726 27.038231890335734, 88.26324358343237 27.03819882953251, 88.26333229673683 27.03815687126435, 88.26341647023303 27.0381064196123, 88.26349529328417 27.038047960453362, 88.2635680067812 27.037982056781185, 88.26363391045336 27.037909343284163, 88.26369236961231 27.03783052023302, 88.26374282126436 27.037746346736828, 88.26378477953251 27.037657633432367, 88.26381784033573 27.037565234677256, 88.26384168528041 27.037470040322017, 88.26385608472668 27.037372967140332, 88.26386090000001 27.03727495))",743103,Darjeeling,Z104,Hill Cart Road,trunk,30,27.03727495,88.2628609
"POLYGON ((88.083314 27.13391715, 88.08330918472667 27.133819132859667, 88.0832947852804 27.133722059677982, 88.08327094033572 27.133626865322743, 88.0832378795325 27.13353446656763, 88.08319592126435 27.13344575326317, 88.0831454696123 27.13336157976698, 88.08308701045335 27.133282756715836, 88.08302110678119 27.133210043218813, 88.08294839328416 27.133144139546637, 88.08286957023302 27.133085680387698, 88.08278539673682 27.13303522873565, 88.08269668343236 27.132993270467487, 88.08260428467725 27.132960209664265, 88.082509090322 27.132936364719594, 88.08241201714033 27.132921965273326, 88.082314 27.132917149999997, 88.08221598285967 27.132921965273326, 88.08211890967799 27.132936364719594, 88.08202371532275 27.132960209664265, 88.08193131656763 27.132993270467487, 88.08184260326317 27.13303522873565, 88.08175842976698 27.133085680387698, 88.08167960671584 27.133144139546637, 88.0816068932188 27.133210043218813, 88.08154098954664 27.133282756715836, 88.08148253038769 27.13336157976698, 88.08143207873565 27.13344575326317, 88.08139012046749 27.13353446656763, 88.08135705966427 27.133626865322743, 88.08133321471959 27.133722059677982, 88.08131881527332 27.133819132859667, 88.08131399999999 27.13391715, 88.08131881527332 27.13401516714033, 88.08133321471959 27.134112240322015, 88.08135705966427 27.134207434677254, 88.08139012046749 27.134299833432365, 88.08143207873565 27.134388546736826, 88.08148253038769 27.134472720233017, 88.08154098954664 27.13455154328416, 88.0816068932188 27.134624256781184, 88.08167960671584 27.13469016045336, 88.08175842976698 27.1347486196123, 88.08184260326317 27.134799071264347, 88.08193131656763 27.13484102953251, 88.08202371532275 27.13487409033573, 88.08211890967799 27.134897935280403, 88.08221598285967 27.13491233472667, 88.082314 27.13491715, 88.08241201714033 27.13491233472667, 88.082509090322 27.134897935280403, 88.08260428467725 27.13487409033573, 88.08269668343236 27.13484102953251, 88.08278539673682 27.134799071264347, 88.08286957023302 27.1347486196123, 88.08294839328416 27.13469016045336, 88.08302110678119 27.134624256781184, 88.08308701045335 27.13455154328416, 88.0831454696123 27.134472720233017, 88.08319592126435 27.134388546736826, 88.0832378795325 27.134299833432365, 88.08327094033572 27.134207434677254, 88.0832947852804 27.134112240322015, 88.08330918472667 27.13401516714033, 88.083314 27.13391715))",Pincode Not Found,Darjeeling,Z101,Sirikhola Road,unclassified,30,27.13391715,88.082314
