geometry,Pincode,District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude
"POLYGON ((76.7109597 11.4176118, 76.71744925 11.3957276, 76.7176222 11.39715325, 76.7176199 11.39729735, 76.7147136 11.4147527, 76.7109597 11.4176118))",643001,Ooty,Z100,Udhagamandalam - Kotagiri - Mettupalayam - Sathy - Gobi - Erode Road,primary,40,11.4147527,76.7147136
"POLYGON ((76.74938305 11.4203734, 76.74937823472668 11.420275382859671, 76.7493638352804 11.420178309677985, 76.74933999033573 11.420083115322747, 76.74930692953251 11.419990716567636, 76.74926497126435 11.419902003263175, 76.74921451961231 11.41981782976698, 76.74915606045336 11.419739006715837, 76.7490901567812 11.419666293218814, 76.74901744328416 11.419600389546638, 76.74893862023302 11.419541930387698, 76.74885444673683 11.419491478735653, 76.74876573343236 11.41944952046749, 76.74867333467725 11.41941645966427, 76.74857814032201 11.419392614719598, 76.74848106714033 11.419378215273328, 76.74838305 11.419373400000001, 76.74828503285967 11.419378215273328, 76.74818795967799 11.419392614719598, 76.74809276532275 11.41941645966427, 76.74800036656764 11.41944952046749, 76.74791165326317 11.419491478735653, 76.74782747976698 11.419541930387698, 76.74774865671584 11.419600389546638, 76.74767594321881 11.419666293218814, 76.74761003954664 11.419739006715837, 76.7475515803877 11.41981782976698, 76.74750112873565 11.419902003263175, 76.7474591704675 11.419990716567636, 76.74742610966427 11.420083115322747, 76.7474022647196 11.420178309677985, 76.74738786527332 11.420275382859671, 76.74738305 11.4203734, 76.74738786527332 11.42047141714033, 76.7474022647196 11.420568490322017, 76.74742610966427 11.420663684677255, 76.7474591704675 11.420756083432366, 76.74750112873565 11.420844796736827, 76.7475515803877 11.420928970233021, 76.74761003954664 11.421007793284165, 76.74767594321881 11.421080506781188, 76.74774865671584 11.421146410453364, 76.74782747976698 11.421204869612303, 76.74791165326317 11.421255321264349, 76.74800036656764 11.421297279532512, 76.74809276532275 11.421330340335732, 76.74818795967799 11.421354185280403, 76.74828503285967 11.421368584726673, 76.74838305 11.4213734, 76.74848106714033 11.421368584726673, 76.74857814032201 11.421354185280403, 76.74867333467725 11.421330340335732, 76.74876573343236 11.421297279532512, 76.74885444673683 11.421255321264349, 76.74893862023302 11.421204869612303, 76.74901744328416 11.421146410453364, 76.7490901567812 11.421080506781188, 76.74915606045336 11.421007793284165, 76.74921451961231 11.420928970233021, 76.74926497126435 11.420844796736827, 76.74930692953251 11.420756083432366, 76.74933999033573 11.420663684677255, 76.7493638352804 11.420568490322017, 76.74937823472668 11.42047141714033, 76.74938305 11.4203734))",643002,Ooty,Z101,Ooty-butterkambai-Thummanatty-Kammbatty-Morigal-Kappachi,tertiary,20,11.4203734,76.74838305
"POLYGON ((76.76716411931007 11.429895567474135, 76.76718516462046 11.429991419660162, 76.7672155037491 11.430084747490573, 76.76725484451359 11.430174652167342, 76.76730280804085 11.430260267859286, 76.76735893241593 11.430340770040488, 76.7674226771304 11.430415383430935, 76.76749342828779 11.430483389462893, 76.7675705045158 11.430544133201096, 76.76765316352822 11.430597029650137, 76.76774060927357 11.4306415693883, 76.76783199960153 11.430677323473557, 76.76792645437325 11.43070394757452, 76.76802306393769 11.430721185286544, 76.7681208978919 11.430728870601039, 76.76821901404143 11.430726929504225, 76.76831646747412 11.430715380689925, 76.76841231966016 11.430694335379536, 76.76850564749057 11.4306639962509, 76.76859555216734 11.43062465548641, 76.76868116785928 11.430576691959134, 76.76876167004048 11.430520567584061, 76.76883628343093 11.430456822869603, 76.76890428946288 11.430386071712206, 76.76896503320108 11.430308995484193, 76.76901792965013 11.430226336471772, 76.76906246938829 11.43013889072642, 76.76909822347355 11.43004750039847, 76.76912484757452 11.429953045626734, 76.76914208528653 11.429856436062302, 76.76914977060103 11.429758602108091, 76.76914782950422 11.429660485958559, 76.76913628068992 11.429563032525865, 76.76629618068992 11.412719282525865, 76.76627513537953 11.412623430339838, 76.76624479625089 11.412530102509427, 76.7662054554864 11.412440197832659, 76.76615749195913 11.412354582140715, 76.76610136758406 11.412274079959513, 76.76603762286959 11.412199466569065, 76.7659668717122 11.412131460537108, 76.76588979548418 11.412070716798905, 76.76580713647176 11.412017820349863, 76.76571969072641 11.4119732806117, 76.76562830039846 11.411937526526444, 76.76553384562673 11.41191090242548, 76.7654372360623 11.411893664713457, 76.76533940210808 11.411885979398962, 76.76524128595855 11.411887920495776, 76.76514383252587 11.411899469310075, 76.76504798033983 11.411920514620464, 76.76495465250942 11.4119508537491, 76.76486474783265 11.41199019451359, 76.7647791321407 11.412038158040867, 76.76469862995951 11.41209428241594, 76.76462401656906 11.412158027130397, 76.7645560105371 11.412228778287794, 76.7644952667989 11.412305854515807, 76.76444237034985 11.412388513528228, 76.7643978306117 11.41247595927358, 76.76436207652644 11.412567349601531, 76.76433545242547 11.412661804373267, 76.76431821471346 11.412758413937699, 76.76431052939895 11.41285624789191, 76.76431247049577 11.412954364041441, 76.76432401931007 11.413051817474136, 76.76716411931007 11.429895567474135))",643214,Ooty,Z107,Perar-morigal rd,residential,25,11.41288555,76.7653101
"POLYGON ((76.75932925000001 11.37331475, 76.75932443472668 11.373216732859671, 76.75931003528041 11.373119659677984, 76.75928619033573 11.373024465322747, 76.75925312953251 11.372932066567635, 76.75921117126435 11.372843353263175, 76.75916071961231 11.37275917976698, 76.75910226045336 11.372680356715836, 76.7590363567812 11.372607643218814, 76.75896364328416 11.372541739546637, 76.75888482023302 11.372483280387698, 76.75880064673683 11.372432828735652, 76.75871193343237 11.37239087046749, 76.75861953467725 11.372357809664269, 76.75852434032201 11.372333964719598, 76.75842726714033 11.372319565273328, 76.75832925 11.372314750000001, 76.75823123285967 11.372319565273328, 76.758134159678 11.372333964719598, 76.75803896532275 11.372357809664269, 76.75794656656764 11.37239087046749, 76.75785785326318 11.372432828735652, 76.75777367976698 11.372483280387698, 76.75769485671584 11.372541739546637, 76.75762214321881 11.372607643218814, 76.75755623954664 11.372680356715836, 76.7574977803877 11.37275917976698, 76.75744732873565 11.372843353263175, 76.7574053704675 11.372932066567635, 76.75737230966428 11.373024465322747, 76.7573484647196 11.373119659677984, 76.75733406527333 11.373216732859671, 76.75732925 11.37331475, 76.75733406527333 11.37341276714033, 76.7573484647196 11.373509840322017, 76.75737230966428 11.373605034677254, 76.7574053704675 11.373697433432366, 76.75744732873565 11.373786146736826, 76.7574977803877 11.37387032023302, 76.75755623954664 11.373949143284165, 76.75762214321881 11.374021856781187, 76.75769485671584 11.374087760453364, 76.75777367976698 11.374146219612303, 76.75785785326318 11.374196671264349, 76.75794656656764 11.374238629532512, 76.75803896532275 11.374271690335732, 76.758134159678 11.374295535280403, 76.75823123285967 11.374309934726673, 76.75832925 11.37431475, 76.75842726714033 11.374309934726673, 76.75852434032201 11.374295535280403, 76.75861953467725 11.374271690335732, 76.75871193343237 11.374238629532512, 76.75880064673683 11.374196671264349, 76.75888482023302 11.374146219612303, 76.75896364328416 11.374087760453364, 76.7590363567812 11.374021856781187, 76.75910226045336 11.373949143284165, 76.75916071961231 11.37387032023302, 76.75921117126435 11.373786146736826, 76.75925312953251 11.373697433432366, 76.75928619033573 11.373605034677254, 76.75931003528041 11.373509840322017, 76.75932443472668 11.37341276714033, 76.75932925000001 11.37331475))",643215,Ooty,Z102,Ooty-Coonoor-Mettupalayam- Road,trunk,35,11.37331475,76.75832925
"POLYGON ((76.7551188 11.42724995, 76.7680503 11.42979185, 76.7662524 11.43738415, 76.7551188 11.42724995))",643402,Ooty,Z103,Kappachi-Kanakombai-rd,tertiary,30,11.42724995,76.7551188
