District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Coimbatore,-,Unnamed Zone,primary,30,11.03948105,77.03929505,641001
Coimbatore,Z169,Sitra - Kurumbapalayam Road,primary,50,11.03814135,77.0374157,641001
Coimbatore,Z169,Sitra - Kurumbapalayam Road,primary,50,11.03835875,77.0374205,641001
Coimbatore,Z119,Avinashi Road,primary,50,11.03824385,77.03770415,641001
Coimbatore,Z119,Avinashi Road,primary,50,11.0413239,77.0419074,641001
Coimbatore,Z119,Avinashi Road,primary,50,11.0411521,77.0418071,641001
Coimbatore,Z119,Avinashi Road,primary,50,11.0412441,77.0419387,641001
Coimbatore,Z169,Sitra - Kurumbapalayam Road,primary,70,11.0745133,77.0380865,641048
Coimbatore,Z169,Sitra - Kurumbapalayam Road,primary,70,11.0935922,77.0318925,641001
Coimbatore,-,Unnamed Zone,trunk,100,11.08027045,77.11888435,641407
Coimbatore,-,Unnamed Zone,trunk,100,11.07997595,77.1184223,641407
Coimbatore,-,Unnamed Zone,trunk,100,11.081537,77.1211198,641407
Coimbatore,-,Unnamed Zone,trunk,100,11.0798514,77.11848805,641407
Coimbatore,Z145,Pattanam Road,unclassified,40,10.97570045,77.08617545,641016
Coimbatore,Z145,Pattanam Road,unclassified,40,10.97553295,77.0861181,641016
Coimbatore,Z106,Pollachi - Coimbatore Salai,trunk,80,10.88229475,77.00164725,641032
Coimbatore,Z106,Pollachi - Coimbatore Salai,trunk,80,10.8827264,77.0015596,641032
Coimbatore,Z106,Pollachi - Coimbatore Salai,trunk,80,10.8812316,77.0019312,641032
Coimbatore,Z106,Pollachi - Coimbatore Salai,trunk,80,10.88269775,77.0015018,641032
Coimbatore,Z124,Eachanari Railway Flyover,trunk,40,10.94009185,76.97981935,641021
Coimbatore,Z151,Coimbatore Bypass Flyover,trunk,70,10.9466794,77.014003,641038
Coimbatore,Z151,Coimbatore Bypass Flyover,trunk,70,10.94717145,77.01448425,641038
Coimbatore,Z167,Sathi Road,construction,40,11.0172606,76.9689728,641001
Coimbatore,Z121,Udhagamandalam - Kotagiri - Mettupalayam - Sathy - Gobi - Erode Road,primary,50,11.30903325,76.9832215,641301
Coimbatore,Z133,Odhimalai Road,tertiary,40,11.31714225,77.10157045,641302
Coimbatore,Z133,Odhimalai Road,tertiary,40,11.3056142,77.1028401,641302
