District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Nainital,-,Unnamed Zone,trunk,40,29.1669792,79.5215408,263139
Nainital,Z108,Moradabad-Kaladhungi Road,primary,80,29.20902395,79.214163,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.0587623,79.5157518,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.06519245,79.5160461,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.04897255,79.5154645,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.27874845,79.0221381,244716
Nainital,-,Unnamed Zone,trunk,50,29.27884415,79.02222975,Pincode Not Found
Nainital,Z104,Nainital Road,trunk,40,29.2696686,79.54406035,263126
Nainital,-,Unnamed Zone,trunk,40,29.0622836,79.51590475,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.0743852,79.5166107,Pincode Not Found
Nainital,Z104,Nainital Road,trunk,40,29.2165597,79.52919245,263139
Nainital,Z104,Nainital Road,trunk,40,29.21351585,79.52800925,263139
Nainital,Z104,Nainital Road,trunk,40,29.216656,79.52921765,263139
Nainital,Z104,Nainital Road,trunk,40,29.271167,79.5440609,263126
Nainital,Z104,Nainital Road,trunk,40,29.27669,79.5455327,263126
Nainital,Z104,Nainital Road,trunk,40,29.26443935,79.54455935,263126
Nainital,Z104,Nainital Road,trunk,40,29.24074745,79.5345916,263126
Nainital,Z114,Bareilly Road,trunk,40,29.1964917,79.52477815,263139
Nainital,-,Unnamed Zone,trunk,40,29.05936145,79.5156904,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.0591534,79.5156786,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.05996075,79.5157984,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.05929335,79.51577835,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.2913105,79.34033315,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.2903562,79.34140465,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.29103125,79.34063265,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.29074045,79.3409576,Pincode Not Found
Nainital,Z111,Haldwani - Bhimtal Highway,primary,50,29.34967735,79.554104,263136
Nainital,Z111,Haldwani - Bhimtal Highway,primary,50,29.349555,79.55404575,263136
Nainital,Z117,Bhimtal - Bhawali Highway,secondary,50,29.38502915,79.51511455,263003
Nainital,Z117,Bhimtal - Bhawali Highway,secondary,50,29.3848429,79.5151679,263003
Nainital,-,Unnamed Zone,trunk,40,29.0745566,79.5165955,Pincode Not Found
Nainital,-,Unnamed Zone,tertiary,40,29.39301915,79.438507,263001
Nainital,-,Unnamed Zone,trunk,50,29.39020955,79.1284496,244715
Nainital,-,Unnamed Zone,trunk,50,29.3901523,79.1284471,244715
Nainital,Z106,Suyalbari Mukteshwar Road,primary,40,29.49345305,79.57221385,263137
Nainital,Z123,SH 62,primary,40,29.49337855,79.5721089,263137
Nainital,Z113,Ranikhet Ramnagar Road,primary,50,29.5967265,79.3244644,263663
